Job Title,Company Name,Job Description
-1,-1,"Overview:
Who is Virgin Pulse?
Virgin Pulse, founded as part of Sir Richard Branson’s famed Virgin Group, helps organizations build employee health and wellbeing into the DNA of their corporate cultures. As the only company to deliver a powerful, mobile-first digital platform infused with live services, including coaching and biometric screenings, Virgin Pulse’s takes a high-tech-meets-high-touch-approach to engage employees in improving across all aspects of their health and wellbeing, every day – from prevention and building a healthy lifestyle to condition and disease management to condition reversal, all while engaging users daily in building and sustaining healthy habits and behaviors. A global leader in health and wellbeing, Virgin Pulse is committed to helping change lives and businesses around the world for good so that people and organizations can thrive, together. Today, more than 3100 organizations across the globe are using Virgin Pulse’s solutions to improve health, employee wellbeing and engagement, reduce costs and create strong workplace cultures.


Responsibilities:


Qualifications:"
-1,-1,"Agilent Technologies is a global, diversified technology company, with over 14,000 employees focused on creating instruments for the chemical analysis, life sciences, and diagnostics industries. Our products are frequently behind the headlines in the news, from environmental regulations to new drug discoveries to Homeland Security. As an employee at the Wilmington site a wide variety of unique options are available to you: flexible work hours, on-site cafeteria and fitness center with a variety of classes, basketball, tennis, volleyball courts, and more! You will also be able to participate in a number of different community volunteer projects. We are located midway between Baltimore and Philadelphia; just a 2 hour drive north to New York City or south to Washington, DC.

Agilent inspires and supports discoveries that advance the quality of life. We provide life science, diagnostic and applied market laboratories worldwide with instruments, services, consumables, applications and expertise. Agilent enables customers to gain the answers and insights they seek - so they can do what they do best: improve the world around us. Information about Agilent is available at www.agilent.com."
-1,-1,"Lead Software Developer
Our client, a leading local boutique firm specializing in custom application development and system integration, is hiring a Lead Full- Stack .Net Software Developer to join their team to work on a variety of exciting new projects. In addition to developing new applications, the successful candidate will gather requirements, estimate the level of effort and time, guide and mentor junior team members, and test enterprise applications using agile development cycles. Additionally, the successful candidate will enjoy the opportunity to expand their skill sets with a focus on new technologies and code bases.
Requirements
At least six years of professional software development experience.
Senior Full-stack software developer; experience in mobile applications is a plus."
-1,-1,"What you will do Johnson Controls is developing the next generation of smart and connected. Our Building Technologies include tailored, AI-infused service solutions such as remote diagnostics, predictive maintenance, compliance monitoring, advanced risk assessments and more.
As a Senior Software Engineer you will be responsible for the development of embedded software which connects our various building devices and the people who use them. You will play a key role in digitizing our products to both our environment and user experience.
This role will be exposed to the state of the art approaches and subject matter including interface design, machine learning, cyber security, IoT devices. You will be involved at the system level, exposed to hardware, and down to applications."
-1,-1,"Summary/Objective:
The Developer position will get an exciting opportunity to join an established, yet rapidly growing, company in the managed-information and technology space. Moonshot Innovations’ tactical and strategic leadership capabilities, along with the services we provide, offers talented individuals an opportunity to truly shine and excel in their fields.
Reporting Relationships:
The Developer position will report to the Director of Software Development.
Essential Functions / Desired Skills:
Moonshot Innovations, LLC"
-1,-1,"As a software engineer, you will be responsible for designing, programming, testing, and maintaining production, pre-production and prototype software applications. You will coordinate with team leads, senior engineers and management in order to create efficient, correct and maintainable solutions that enhance current applications and create new products.
Performance goals will be linked to the ability to manage work efficiently, finish work on-time and produce high-quality code with minimal outstanding issues.
Responsibilities:
Maintenance and extension of a module responsible for interpreting, analyzing and recording results for healthcare quality measures."
-1,-1,"We are looking for a Software Engineer in Test who will be responsible for developing functional and non-functional test cases to validate operation of R3s product suite using bespoke regression automation frameworks for testing (e.g. CRAFT).

In the QA team we mainly use the Kotlin programming language amongst other technologies to develop our tests and tools but it is not essential that you are proficient in Kotlin to join the team. In fact we encourage candidates from all backgrounds to apply.

The successful candidate will have hands on manual and automated test engineering experience, understand the challenges of testing platform technologies, demonstrate critical investigative abilities, and be able to work well at all levels of the software testing lifecycle.

Ideally they will be experienced using several programming languages and test frameworks, be comfortable with ambiguity and may have worked both in banking and startup environments. Capital Markets and/or Trading technology experience is not mandatory but a plus."
-1,-1,"Position Overview
An ideal candidate should be able to speak intelligently about the process of software development, while getting their hands on the keyboard to deliver real functionality. We need strong developers that are familiar with modern best practices, who can develop code in a disciplined way that meets project needs and won’t sacrifice quality just to get something shipped quickly. We’re also looking for somebody that can understand the larger picture, and has experience dealing with back-end services, enterprise-level systems architecture, and collaborating in a cross-team environment.

This position will participate in all stages of software design, development, testing, release, and support. The types of systems include content management systems, API integrations, security/identity-related features, and user experience design. The core technology stack used by this team includes: Java 8+/Groovy, Spring / Spring Boot, Git, and MongoDB/Oracle databases. Because we work collaboratively, strong interpersonal and communication skills are essential. We also use Agile delivery methodologies, so Agile experience is also desirable.


Required Skills


Required Experience"
-1,-1,"Summary:
Reporting to the Canada Manager R&D and working at the US R&D Center, the Canada Research Scientist position provides project leadership on low to medium project’s complexity by leveraging knowledge and experience to drive chocolate product innovation and growth for the Canada market as a priority but also by supporting prototyping work of projects related with the International key markets when needed.

The candidate will accomplish this by:
Leads low to medium projects from a complexity standpoint
Developing new chocolate products and processes"
-1,-1,"Title: Software Quality Assurance Engineer
Description:
QualityLogic is seeking a software quality assurance engineer to join our operations team. This job is well suited to individuals who have experience with software quality assurance or software development. Our QA Engineers create software test automation scripts that programmatically test products, build scripts that are used to load test websites, and implement unit tests within software solutions.
The ideal candidate will have strong object-oriented programming skills, an eagerness to learn, and excellent communication skills.
Required Qualifications"
