Company Name,Job Title,Job Location,Job Description
ACG Business Analytics,Network Modeling Engineer,Remote,"Network Modeling Engineer

ACG Research has developed a unique Business Analytics Engine (BAE) that is
used for business modeling and economic analysis of IT systems that include
networks, data centers, cloud, and edge computing. The primary role of the
Network Modeling Engineer is to use the BAE to work with customers to build
business models. The BAE has a highly intuitive visual interface that creates
economic models by connecting model components. The Network Modeling Engineer
must work closely with ACG’s customers to understand the objectives of the
modeling exercise and understand the dynamics of the systems being modeled.
After understanding the objectives and structure of the model, the engineer
will build the models using the BAE. You must have a strong IT technical
background and also be capable of and interested in constantly learning new
systems, technologies, and architectures. A strong understanding of financial
modeling is a plus but not required since the BAE does most of this analysis
automatically.

 **Job Requirements:**

  * BS degree (or higher) in engineering or computer science
  * 2 years of experience preferably in systems engineering, sales engineering or business development with a vendor or a systems engineering role in a large enterprise or service provider
  * Desire to constantly learn

 **Systems and Technologies:**

Although knowledge and experience in specific technologies is not required,
experience in the following areas would be of great benefit:

  * 5G mobile networks, including RAN, Open RAN, and virtual packet core
  * Private 4G/5G
  * Enterprise networks, including WAN, LAN, and Wi-Fi
  * Virtual edge technologies
  * Network Function Virtualization
  * Data center architectures: computing, storage, and switching
  * Multi-cloud and hybrid cloud
  * Edge computing

Job Types: Full-time, Part-time, Contract

Pay: $75,000.00 - $120,000.00 per year

Benefits:

  * Flexible schedule

Schedule:

  * 8 hour shift

Education:

  * Bachelor's (Preferred)

Experience:

  * Computer networking: 2 years (Preferred)
  * Computer science: 2 years (Preferred)

Security clearance:

  * Confidential (Preferred)

Work Location: Remote

"
TekFive,NASA GSFC Network Engineer,"Greenbelt, MD","Mid-level Network Engineer position at our NASA GSFC site, with guidance from
more senior engineers and in coordination with the government customer,
performs a variety of network engineering tasks, which are broad in nature and
are related to the design and implementation of integrated networks, including
labor, hardware, software, and support facilities and/or equipment. Plan and
perform network engineering research, design, development, and other
assignments in conformance with network design, engineering, and customer
specifications. Coordinate the activities of network technicians assigned to
specific network engineering projects. Perform with some latitude for
independent actions and decisions.

Education: A.A, A.S., or BA  
Experience: 3 years w/ BA or 5 years with AA/AS.

This position will require a U.S. citizenship.  
This position will require onsite support at the NASA GSFC facility.

Job Type: Full-time

Pay: $44,000.00 - $60,000.00 per year

Benefits:

  * 401(k)
  * Dental insurance
  * Health insurance
  * Life insurance
  * Paid time off
  * Vision insurance

Schedule:

  * Monday to Friday

COVID-19 considerations:  
COVID precautions will be determined by NASA Center guidance.

Ability to commute/relocate:

  * Greenbelt, MD 20771: Reliably commute or planning to relocate before starting work (Preferred)

Education:

  * Associate (Preferred)

Work Location: One location

"
A Houston Company,Network Engineer,"Spring, TX","A Houston company is looking for a Network Engineer for a long term contract.

EXPERIENCE:

  * Palo Alto Firewalls
  * Panorama
  * GlobalProtect

  * Routing
  * BGP
  * OSPF
  * EIGRP

  * Switching
  * Cisco DMVPN
  * Cisco Nexus
  * Cisco Layer 2 & 3 Switches

  * Server/Blades networking
  * HP VC Flex-10
  * VPCs

  * MISC
  * Cisco ISE
  * Dot1X
  * EAP/TLS
  * Cisco WLC and Lightweight access points – embedded and standalone

\- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
- - - - - -

Staffing Company - Operating Systems Inc. (OSI)

OSI provides technical services on either a project basis, long-term support
basis or permanent basis for midsize to Fortune 500 companies located in the
Houston area. Since 1989, we have placed employees in all levels of support
and services ranging from entry-level technicians to high-level application
programmers.

OSI offers a compensation package including:  
\- Compensation: OSI consistently pays a higher percentage of gross billing
rate than its competitors; in most cases up to 75% of the client's billing
rate  
\- Medical Insurance: Company paid medical insurance; optional coverage
available for spouse and children  
\- Long term Disability  
\- 401K  
\- Workers Compensation Insurance

For more information on OSI, please visit our website at www.osihouston.com.

\- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
- - - - - -

Job Types: Full-time, Contract

Pay: $45.00 - $65.00 per hour

Benefits:

  * 401(k)
  * 401(k) matching
  * Dental insurance
  * Health insurance
  * Life insurance
  * Vision insurance

Schedule:

  * 8 hour shift

Experience:

  * Palo Alto Firewalls: 3 years (Preferred)
  * Routing: 5 years (Preferred)
  * Cisco Switching: 5 years (Preferred)
  * Server/Blades Networking: 5 years (Preferred)
  * Cisco ISE: 3 years (Preferred)
  * Dot1X: 1 year (Preferred)
  * EAP/TLS: 1 year (Preferred)
  * Cisco WLC and Lightweight: 1 year (Preferred)

Work Location: One location

"
Dignitas Technologies LLC,1134 - Network Engineer/ Cyber Event Operator,"Orlando, FL","**JOB DESCRIPTION**

 **Summary/Objective**

This position is in support of cyber events (e.g. tests, training activities,
or mission rehearsal activities) to include: pre-event support, event
execution support, and post-event support in accordance with event
requirements as outlined in the government’s Performance Work Statement.

 **Specific Skills Required**

  * Cloud computing, containerization, networking, or technical familiarity with alternates busses (CANBus, 1553, Serial protocols, RF)
  * Networking Skills (cisco, bgp, ospf, packets, vlans)
  * Virtualization experience (esxi, xen secondary)
  * Scripting skills/experience (primarily Python), Linux shell, Java, Powershell+, the Java/C++/Perl for other I&T
  * IT Troubleshooting background
  * Office experience
  * Linux and Windows experience, especially as a system administrator
  * Email, Chat, DNS and Active Director experience

Reasonable accommodations may be made to enable individuals with disabilities
to perform the essential functions.

 **Work Environment**

This job operates in an off-site government location.

 **Required Education and Experience**

Bachelor’s degree in Computer Networks and Security or other relevant degree

 **Additional Eligibility Qualifications**

Must have an active Top Secret Security Clearance

Must be a US Citizen

 **AAP/EEO Statement**

Dignitas Technologies, LLC is an equal opportunity employer.

 **Other Duties**

Please note this job description is not designed to cover or contain a
comprehensive listing of activities, duties or responsibilities that are
required of the employee for their job. Duties, responsibilities, and
activities may change at any time with or without notice.

Job Type: Full-time

Pay: From $1.00 per hour

Benefits:

  * 401(k)
  * 401(k) matching
  * Dental insurance
  * Flexible schedule
  * Health insurance
  * Life insurance
  * Paid time off
  * Referral program
  * Vision insurance

Schedule:

  * 8 hour shift
  * Monday to Friday

Education:

  * Bachelor's (Required)

Experience:

  * Computer networking: 1 year (Preferred)
  * LAN: 1 year (Preferred)

Security clearance:

  * Top Secret (Required)

Work Location: Multiple Locations

"
Hunter Communications,Network Engineer,"Denver, CO","Hunter Communications has an amazing opportunity for a talented Network
Engineer!

We are looking for a Network Engineer that will support our MPLS
core/transport networks and contribute to major distribution network market
builds spanning multiple, often cutting-edge delivery technologies.

This is a tremendous opportunity for an ambitious and highly driven Network
Engineer to work on a well-designed, proven network for a company that is
growing rapidly.

 **Required Skills:**

  * Carrier Grade and ISP experience
  * Experience with MPLS, L2VPNs and L3VPNs

 **Responsibilities:**

  * Troubleshooting networks at OSI levels 1-7
  * Command-line configuration of switches, routers, firewalls
  * Network troubleshooting
  * Help design network systems and processes
  * Manage projects
  * Design and maintain customer networks
  * Work with customers on network configuration changes
  * Tier 3 NOC support

Hunter Communications provides equal employment opportunities to all employees
and applicants for employment and prohibits discrimination and harassment of
any type without regard to race, color, religion, age, sex, national origin,
disability status, genetics, protected veteran status, sexual orientation,
gender identity or expression, or any other characteristic protected by
federal, state or local laws.

This policy applies to all terms and conditions of employment, including
recruiting, hiring, placement, promotion, termination, layoff, recall,
transfer, leaves of absence, compensation and training.

Job Type: Full-time

Pay: $80,000.00 - $90,000.00 per year

Benefits:

  * 401(k)
  * 401(k) matching
  * Dental insurance
  * Employee assistance program
  * Employee discount
  * Flexible spending account
  * Health insurance
  * Life insurance
  * Paid time off
  * Relocation assistance
  * Vision insurance

Schedule:

  * 8 hour shift
  * Monday to Friday

Work Location: One location

"
MHD Communications,Network Engineer,"Tampa, FL","**We are looking for smart, motivated people who love technology!**

Here is a little bit about us: established in 2003, MHD Communications
specializes in providing high-quality total technology solutions in the SMB
market. Our team is trained to support all types of businesses– a few of the
vertical markets in the Tampa Bay area that we specialize in are healthcare
and industrial. We provide our clients with a simplified technology solution,
with an emphasis on security, from an otherwise hectic environment. Whether
our client is looking to set up a new facility/office or needing technical
support on existing technology equipment, we provide the solution! Fully
licensed, bonded and insured, MHD Communications exists to provide the highly
responsive technology support system to clients who require a superior level
of quality and reliability.

 **Advanced experience in ALL of the following areas:**

  * Configuration and administration of Fortinet firewalls/UTMs
  * Ability to navigate and administer firewalls via central management tools
  * Ability to analyze logs and troubleshoot
  * Firewall policy management
  * Familiarity with GNS3 lab environment
  * Configuration of Cisco switches
  * VLANs
  * Site-to-site VPN
  * Client VPN / SSL-VPN
  * Unified Threat Management (UTM) Administration
  * IPS (Intrusion prevention)
  * DNS filtering
  * Application control
  * Web filtering
  * Antivirus
  * SSL/TLS inspection

  * Endpoint antivirus solutions
  * Patch management

  * Must currently hold a CCNA (new version) or CCNA R&S (old version) OR have CCNA level working experience.

  * Must currently hold no less than a Fortinet NSE4 certification and must be willing to obtain further NSE certifications (Company sponsored).

 **These are a few qualifications you will need to succeed in this position:**

  * Effectively navigate, analyze and troubleshoot advanced network and user issues
  * Install new hardware, systems, and software for networks
  * LDAP/RADIUS integration (SSLVPN, 802.1x WLAN, etc) and troubleshooting
  * Experience with networking devices from vendors other than Fortinet/Cisco a plus
  * Document network problems, resolutions, and updates for future reference
  * Monitor system performance and keep customers informed of incident progress, impending changes, or agreed on outages
  * Be a well-rounded IT professional with an understanding of systems and experience working on workstations

Job Type: Full-time

Pay: $85,000.00 - $115,000.00 per year

Benefits:

  * Dental insurance
  * Health insurance
  * Life insurance
  * Paid time off
  * Professional development assistance
  * Referral program
  * Vision insurance

Schedule:

  * 8 hour shift
  * Monday to Friday
  * On call

Supplemental Pay:

  * Bonus pay

Application Question(s):

  * Have you completed the new version of the CCNA?

Experience:

  * Managed Services: 2 years (Required)

License/Certification:

  * NSE4 (Required)

Work Location: One location

"
Aston Technologies Inc.,Network Engineer - Entry Level,"Atlanta, GA","### **About Aston:**

_""Our culture of Innovation, Collaboration, Inspiration and Mentorship is at
the core of our success.""_

Aston Technologies has been integrating people with opportunities to learn and
innovate since 2001. Our two decades of excellence have transformed our IT
consulting services into a go-to partner for our clients, with IT projects
nationwide. Aston invests in the latest technologies to empower employees and
instill an innovative culture where learning and career growth are paramount  

  
  

#### **Job Description:**

Aston Technologies is seeking talented individuals that are highly motivated
and eager to launch their career in the IT industry. This role begins with an
on site training program with curriculum designed to test and sharpen your
technical abilities, develop strong professional skills, and familiarize you
on the technologies you will be working with in the field. As a Network
Engineer, you will be working on client network infrastructure and security
projects nationwide to help assess, design, implement, troubleshoot, and
maintain network hardware and software to ensure a successful project
completion.  
  
Upon successful completion of training, you will have a better understanding
in areas like virtual and physical network infrastructure, network security,
application delivery, and cloud network services on a large enterprise scale
on long or short-term job assignments. When on project, network engineers are
expected to solve technical challenges, document solutions, resolve technical
faults, and allocate resources to deliver solutions for the client. We are
looking for people to participate in our in-office and remote training for
this position as soon as May 9th.

  
  

#### **Requirements:**

Must be able to provide proof of vaccination against COVID-19

General understanding of basic computer terminology and a strong passion to
learn

Basic knowledge and proficiency of Windows OS and Microsoft Office Suite

Ability to effectively and professional convey written and oral communication

Must be open to 100% nationwide travel/relocation to client sites (Currently,
travel is limited due to COVID)

Successful completion of a background checks and drug screens

Must own a reliable vehicle for transportation

Ability to drive to Minneapolis

Ability to train on site in our Minneapolis office (Remote hires may be
required to travel to our offices as needed for the position)

  
  

#### **Training Includes:**

Full time (40hrs/week) paid fast-paced training

Corporate housing package and cost of living stipend provided upon request in
lieu of an hourly rate

Professional development in-house: formal skill-based training, preparation
for future projects, and developmental relationships

Collaborative team environment with peers and mentors every step of the way

Hands on access to state-of-the-art technology from our preferred vendors

1-on-1 mentorship with highly skilled Senior Level Engineers to sharpen your
skills

  
  

#### **On Project Perks and Benefits:**

Pay starts at $20/hour after completing our 3-month paid training program

Up to 20% raises at scheduled checkpoints/ merit-based reviews

Excellent Health, Dental, Vision, and 401(k) with employer match program

7 Paid Federal Holidays

Accrue up to 2 weeks PTO annually after first year on project

Certification Reimbursement (example: CCNA, CCNP, PCNSE, AWS)

**Employer-Provided Benefits When Traveling**

Logistics support team to handle all travel coordination

Furnished housing or lodging

Weekly food stipend

Monthly transportation stipend

  
  

**_Last Updated: Apr 13, 2022_**

"
Phoenix Staff Inc,Sr. Network Engineer,"Tempe, AZ","**Salary:** $130k - 150k per year  
**Reference:** JOB-6258  

Title: Sr. Network Engineer Location: Tempe, AZ; Plano, Texas; or remote for
the right person

Your role:

  * Acts as a shift lead during US hours to coordinate incoming incident/issues/changes amongst the team and drive high visibility business-impacting service outages.
  * Identify new opportunities and run PoC/implementation with the rest of the team as part of a technology refresh.
  * Mentor and help other members of a team with relevant technologies and issues as senior resource.
  * Installation, troubleshooting, and management of Network Infrastructure as a part of Global Network Services team.
  * Ownership of low to high priority incidents assigned to Network queue by Service Desk, Users and Monitoring systems until resolution.
  * Implement routine changes such as OS upgrades, routing, ACL/Firewall rule updates, and project-related changes such as installation and configuration of new devices, ISP circuits, S2S VPN, etc.
  * Effectively collaborate with Vendors, ISPs, and other cross-functional teams to drive incidents and changes while following ITSM best practices and SLAs.
  * Identify automation opportunities and automate regular network functions via code.
  * Update diagrams, documentation, policies, and procedures to keep SoPs up to date.
  * Part of a Global team providing 24/5 support with rotating on-call over the weekend.

What you’ve got:

  * Campus/WAN/DC Routing & Switching, ACI Fabric (Cisco ISR, CAT, Nexus)
  * NGFW Platforms (Juniper, Cisco, Fortinet)
  * 10+ years of experience in the networking domain
  * Bachelor’s degree in CS/Electronics/IT
  * Relevant certifications on vendor products like Cisco, Juniper, SDWAN, etc.
  * Must have strong networking concepts and experience in Cisco Routing/Switching/Wireless, NGFW, IPS/IDS, DDI platforms
  * Must have hands-on experience on one of the SDWAN platforms such as Versa, Viptela, or Silver Peak
  * Excellent troubleshooting skills and must be able to work effectively within other teams
  * Be open to working on technologies under network portfolio such as Load balancers, NAC, Remote Access VPNs, DDI, and Azure
  * Experience in using common systems logging and monitoring tools such as Splunk and SolarWinds
  * Basic understanding of IP Telephony & Voice Networking concepts
  * Understanding of any of scripting languages (Shell/Python /Perl)
  * Good understanding of ITSM
  * Willing to work during evening hours and weekends as needed to support the business

Good to know skills:

  * SDWAN Technology (Versa, SilverPeak, Viptela)
  * Voice Telephony (Cisco, Avaya)
  * Azure Network Infrastructure Administration
  * Coding/Scripting (Ansible, Python)
  * DNS, DHCP & IPAM (DDI)

To find more great tech-centric jobs, please visit www.phoenixstaff.com.

  

  * Phoenix, AZ Austin, TX Las Vegas, NV www.phoenixstaff.com

"
Maveris,Network Engineer,"Washington, DC","Maveris exists to help organizations reach their fullest potential by
providing thought leadership in IT and cyber. We are hiring multiple full-
time, permanent candidates to support our large Federal Government customer in
the architecture and management of their enterprise network. Selected
candidates for this position will be capable of providing leadership in WAN
evaluation and capacity planning and be comfortable communicating to senior
leadership. This is a full time direct position with Maveris.

Candidates will work at a Washington, D.C. or Martinsburg, WV Federal
Government customer location. Relocation assistance is available.

Veterans encouraged to apply.

 **  
Requirements**

 **Experience with some or all the following**

  * Experience in an enterprise environment involving network architecture and management
  * Knowledge and understanding of Network management and application analysis tools is required (NetScout, SolarWinds and OpNet preferred)
  * Experience with router and switch administration (Cisco experience preferred)
  * Understanding of capacity management/planning techniques and processes
  * Knowledge/understanding of carrier circuits to include, but not limited to OC3, DS3, T1, and Ethernet Transport Services.
  * Ability to work across multiple projects; provide written/verbal status updates on each project on a regular basis to the team lead, Program Manager and customer
  * BGP, OSPF, EIGRP knowledge
  * Knowledgeable with MPLS-VPN carrier offerings
  * Knowledgeable of VoIP solutions
  * Ability to interact with executive level staff
  * Desire to learn new technologies and methods of data/voice communications
  * IPv6 knowledge
  * Experience with Riverbed/OpNet software suite

  

  

**Duties Performed**

  * Make architecture recommendations to support the growing needs of the customer based on new application deployments
  * Provide recommendations for enterprise compatibility in the state-of-the-art network design lab
  * Provide on-call escalation support if an issue arises that cannot be rectified by the network operations team
  * Write white papers on new technology and how it will help support the mission of the customer
  * Use existing Network Management tools to provide capacity management/utilization reports

  

  

**Qualifications**

  * Associate's or Bachelor’s degree or equivalent experience
  * Selected candidate will need to be able to successfully complete and obtain a Tier 4 High Background Investigation
  * Duties may require traveling, being on call periodically, and occasionally working outside normal working hours (evenings and weekends)
  * Certifications: CCNA/CCNP or higher preferred

**Benefits**

Maveris attracts and retains talent of the highest caliber by offering
opportunities to work in exciting and challenging environments surrounded by
bright minds. Our employees are our most prized asset and are rewarded with
highly competitive compensation and a top-tier benefits package, including:

  

  * 401(k) with company contribution
  * Dental Insurance
  * Health Insurance
  * Vision Insurance
  * Life Insurance
  * Paid Time Off

  

  

### **About Maveris**

Maveris offers exceptional, mission-focused solutions to organizations facing
highly complex IT, digital, and cyber security challenges. Our success is
achieved by maintaining an environment of trust where people are encouraged to
reach their fullest potential. Every candidate that applies to Maveris brings
something unique to the table, and because our team is diverse, we
consistently meet our goals and exceed client expectations. If you are a
highly-motivated person with a willingness to learn, we invite you to apply
today to join our team!

To learn more about employee benefits visit www.maveris.com.  
For company updates and the latest job postings check us out on LinkedIn.  
If you'd like to read about some of our research and projects head over to
Maveris Labs.  
Want a more behind the scenes view? Check out our blog Maveris Insights to
learn more about the team behind the solutions.

  
We are an equal opportunity employer and all qualified applicants will receive
consideration for employment without regard to race, color, religion, sex,
sexual orientation, gender identity or expression, pregnancy, age, national
origin, disability status, genetic information, protected veteran status, or
any other characteristic protected by law.

"
"M I Technical Solutions, Inc",Network Engineer - San Diego,"Jacksonville, FL","MI Technical Solutions seeks qualified candidates to fill immediate openings
for experienced Network Engineer positions in San Diego and other US Navy
bases.

Who we are: MI Technical Solutions is a Women-Owned Small Business (WOSB)
comprised of a broad range of talented employees that provide diversified
engineering and technical support services since 2004! Our team works
tirelessly to build a respected, results-oriented brand. We are headquartered
in Chesapeake, VA with employees located near each of the Navy Fleet Centers
within the continental United States (San Diego, Jacksonville, Seattle, New
England, Norfolk) as well as Hawaii and Japan.

What you will do: As a Network Engineer on our team, you will work with U. S.
Navy personnel to assist in migrating data to temporary networks built by you.
Our team supports continuity of day-to-day operations while US Navy ships are
undergoing extended periods of maintenance and upgrades. You will communicate
with customers and develop timeline of milestones for each project. During the
project, you will work with technicians and stakeholders to ensure a smooth
transition to a temporary LAN utilized by the customer. While the ship is
operating on the temporary network, you will act as their point of contact for
any network concerns. You will also check in with the customer periodically in
order to maintain a high level of communication, perform health checks on the
system, ensure proper operation, and verify successful data backups.

Additionally, MITS Teams are involved in research and development projects to
include artificial intelligence (AI) and machine learning (ML). We primarily
support the US military and routinely partner with institutions of higher
learning. You may be invited to support these endeavors and bring your talents
to strengthen ongoing projects.

What you bring to the Team: Five years Network Engineering and/or System
Administrator with experience in servers, storage devices, writing and editing
configurations of switching and routing equipment. Advanced knowledge of Cisco
products is ideal.

  * U.S. Citizenship is required

  * Hold active clearance or eligible for clearance

  * Bachelor's Degree is preferred, however, no specific discipline is required
  * Perform other duties within this scope as needed with potential to assist Research and Development (R&D) in their endeavors

What you get in return: Benefits include highly competitive pay; Comprehensive
Medical, Dental and Vision insurance; Life and A&D coverage; Disability
coverage; Employee Assistance Programs; 401 (k) Plan with company
contributions; Paid Time Off and all federal holidays paid; Educational
Assistance; Legal Insurance

MI Technical Solutions making headlines: Inside Business Top Workplaces for
2020! (https://www.pilotonline.com/inside-business/special-reports/vp-ib-top-
workplaces-mi-technical-solutions-0817-20200817-vbmov6lzcvchnpcn4zax62dony-
story.html)'

We are an equal opportunity employer and value diversity at our company. We do
not discriminate on the basis of race, religion, color, national origin,
gender, sexual orientation, age, marital status, veteran status, or disability
status.

Work Location:

  * One location

Work Remotely

  * No

Job Type: Full-time

Pay: $35.00 - $40.00 per hour

Benefits:

  * 401(k)
  * Dental insurance
  * Employee discount
  * Flexible schedule
  * Flexible spending account
  * Health insurance
  * Health savings account
  * Life insurance
  * Paid time off
  * Professional development assistance
  * Referral program
  * Tuition reimbursement
  * Vision insurance

Schedule:

  * 8 hour shift
  * Monday to Friday

Experience:

  * Computer networking: 3 years (Preferred)

Security clearance:

  * Secret (Preferred)

Work Location: Multiple Locations

"
