Company Name,Job Title,Job Location,Job Description
Attunely,Principal Data Scientist,Remote,"Attunely is looking for a Principal Data Scientist to join our highly experienced team! This role will work with our Data Science group to develop and implement individualized ML models for our customers in the financial sector. The ideal candidate is adept at developing and improving predictive models, as well as rigorously evaluating their effectiveness. They must have significant experience of working with large amounts of data from multiple sources and at translating their insights into production-level code. They must be comfortable working across teams and with a range of stakeholders. The right candidate will have a passion for economic modeling and for working with stakeholders to improve business outcomes, as well as drive for personal growth within the data science field.
Responsibilities:
Work with the Data Science team to develop machine learning models for customers.
Use analytical methods to assess and improve models."
"Davidson Technologies, Inc.",Data Scientist,"Huntsville, AL","Davidson is seeking a Data Scientist in Huntsville, AL.
This position is an integral part of a fast-paced, innovative research and development (R&D) program for the US Air Force’s (USAF) Advanced Battle Management System (ABMS) involving the creation of advanced M&S and AI for wired and wireless communications across all 5 warfare domains (land, sea, air, space, and cyberspace). The program works cross-functionally with innovative team members skilled in High-Performance Computing (HPC), Modeling & Simulations (M&S), Artificial Intelligence (AI)/Data Analytics, and Cybersecurity.
The qualified candidate should be able to:
Experiment with innovative theories, ideas, and concepts to expand the realm of the possible
Self-organize and participate in an agile development lifecycle
Ask questions and build consensus within a cross-functional team"
Attunely,Staff Data Scientist,Remote,"Attunely is looking for a Senior Data Scientist to join our highly experienced team! This role will work with our Data Science group to develop and implement individualized ML models for our customers in the financial sector. The ideal candidate is adept at developing and improving predictive models, as well as rigorously evaluating their effectiveness. They must have significant experience of working with large amounts of data from multiple sources and at translating their insights into code. They must be comfortable working across teams and with a range of stakeholders. The right candidate will have a passion for economic modeling and for working with stakeholders to improve business outcomes, as well as drive for personal growth within the data science field.
Responsibilities:
Work with the Data Science team to develop machine learning models for customers.
Use analytical methods and research skills to assess and improve models and modeling techniques and prove their effectiveness."
Conversion Logix,Data Scientist,"Seattle, WA","Conversion Logix®, LLC provides a comprehensive suite of marketing software and services that enable customers to capture, connect, and convert prospects throughout their journey. We advise, plan, and execute digital marketing strategies to help customers maximize their ROI. Our suite of software and services allow customers to easily integrate with common CRM applications and scale lead generation across their business. Conversion Logix has been ranked on the Inc. 5000 and Austin Business Journal's Fast 50 Growing Companies and is a Premier Google Partner and Facebook Business Partner.
*
About the role:
*
*
As the company Data Scientist, you will support our product, sales, leadership and marketing teams by discovering insights gained from analyzing company data.
*
*
What you’ll do:"
PAIIR Solutions,Sr. Data Scientist,"Suffern, NY","SR. DATA SCIENTIST
Here's your rare opportunity to join our client's exciting, fast-growing, and dynamic team in Suffern, NY!
About you:
You have 3++ years of solid expertise in developing market forecasting, analysis and campaign reporting.
You have strong experience in R and Python
Java, Alteryx, VBA, SQL, ETL a plus.
You’re well-spoken, and can verbally communicate well with Fortune 500 clients.
Your Excel skills are wizard level."
Monroe,Data Scientist,"Rochester, MI","Summary
Monroe is a cutting edge, industrial manufacturing and distribution company that is uniquely positioned to offer customers a multitude of value-add, diverse product solutions across many different industries.
We are looking for a self-motivated and experienced Data Scientist to join our internal IT team at our corporate location in Rochester Hills, MI. The Data Scientist will be responsible for understanding Monroe's business objectives and continually working with both internal team members and external vendors to acquire, define, test, maintain, and display data. The desired candidate must have a ""360 degree view"" mindset and be a team player that can multi-task projects/role responsibilities - all while being in a fast-paced environment.
Core Responsibilities
Work with internal team members and external vendors to continually enhance our data warehouse capabilities"
Illumination Works,Data Scientist,Remote,"Join our Data Science Team! Our collaborative and diverse data science team has experience that spans many industries including energy, retail, healthcare, and DoD. Our projects have ranged from natural language processing (NLP) and text analytics to machine learning, predictive analytics, and simulation modeling. We are looking for a data scientist who is career-oriented and eager to grow their skills. The ideal candidate will bring innovative use of scientific research concepts, principles, and practices and will contribute to the application of advanced data science methods and techniques.
Do you have what it takes? Are you driven to implement creative solutions that unravel complex and ever-changing challenges? We value passion, curiosity, and perseverance with an ability to communicate ideas and results to diverse audiences. We look for people who thrive in collaborative and independent assignments, have the aptitude to learn new data quickly, and who are willing to mentor junior team members. Required skills for this job include:
Integrates and extracts relevant information from large amounts of both structured and unstructured data to enable analytical solutions"
SparkCognition,Data Scientist,California,"SparkCognition catalyzes sustainable growth for their clients throughout the world with proven artificial intelligence (AI) systems, award-winning machine learning technology, and a multinational team of AI thought leaders. Clients are trusted with advancing lives, infrastructure, sustainability, and financial systems across the globe. They partner with SparkCognition to understand their industry’s most pressing challenges, analyze complex data, empower decision-making, and transform human and industrial productivity. With leading-edge artificial intelligence products, SparkCognition’s clients can adapt to a rapidly changing digital landscape and accelerate their business strategies.
If you were already working for us, you would be:
Partnering with project teams in developing and applying ML expertise in developing and delivering customer solutions
Independently and effectively engaging with external technical stakeholders and subject matter experts to understand and solve critical business problems through the application of cutting-edge artificial intelligence"
Cleveland Clinic,Data Scientist I,"Cleveland, OH","Responsibilities:
Gathers requirements and program model development under direction of other Data Scientists to inform problem formulation.
Participates in model building.
Utilizes methods particularly in the areas of modeling, Artificial Intelligence (AI), Machine Learning (ML), Deep Learning (DL), Natural Language Processing (NLP) and experience designing/implementing solutions.
Provides insight and recommendations to solve business problem and help inform business decisions.
Documents best practices and solution frameworks. Replicates and scales solutions to business units with common/similar business needs.
Uses expertise in defining (with internal clients) the business challenge that needs to be solved, conducting the analysis/modeling/experiment and then providing the “answer” in a clear and business-friendly manner for our clients to take actionable steps."
Emerald Resource Group,Data Scientist - Remote,Remote,"Position: Data Scientist - REMOTE
Machine Learning / R/ Python / Jupyter /SQL
Must have experience developing Data science solutions to production within Digital Services, Products, and solutions.
Remote role that is Direct Hire-Salaried
Prefer Eastern Standard Time Zone
(At this time, our client cannot accommodate H1B visas or OPT).
************************************************************************************"
