Company Name,Job Title,Job Location,Job Description
BlueHalo,Unity Software Engineer,"Rockville, MD","Overview:

**Why work at BlueHalo**

  
At BlueHalo our employees describe their work as reminiscent to a graduate
school lab with the unique opportunity to see your innovation go beyond the
research environment. At BlueHalo your work will transition to the real world,
where it can make a difference.

 **  
Benefits, Retirement & more**

  
Our careers benefits include but are not limited to the following:

  *   
Flexible/hybrid work schedule (built-in work from home days)

  * Professional development & educational assistance
  * Retirement savings with employer matching
  * Healthcare Flexible Spending Account (FSA)
  * Medical and life insurance
  * Active social committee
  * Fitness center
  * Annual profit sharing
  * Relocation expenses
  * Paid vacation & holidays

Responsibilities:

**OVERVIEW: Unity Software Engineer**

  
The Human Interaction and Performance (HIP) group at BlueHalo combines
cognitive theory with interactive media such as serious games, simulations,
and virtual reality. The resulting solutions enhance training, provide
engaging physical therapy, and visualize complex datasets. HIP applications
span K-12, adult learners, military, user interface design, and courseware
development support. HIP also collaborates with other divisions at BlueHalo to
develop visualization, computer vision, robotics, and mobile health
applications.

The HIP group is looking for a Software Engineer to develop interactive 2D and
3D software, games, VR/AR, and visualizations using Unity.

 **  
JOB DUTIES**

  * Work closely with a small R&D team to develop products including web-based training, desktop 3D simulation, augmented and virtual reality, or serious games
  * Contribute to project development through system design, requirements gathering, and programming
  * Collaborate with other programmers and artists to achieve project milestones
  * Research and defend possible approaches to problems
  * Learn new SDKs, APIs, or programming languages as necessary

 **REQUIRED SKILLS**

  * Ability to design and implement flexible software to meet requirements
  * Experience developing entertainment games, serious games, or educational/training systems
  * Experience developing in Unity3D
  * Experience with physically-based rendering (PBR) shaders
  * Advanced knowledge in a major programming language (Java, C++, or C#)
  * Experience using code versioning systems (SVN or Git)
  * Effective oral and written communication skills

 **DESIRED SKILLS**

  * Experience integrating simulations with external data sources
  * Experience developing Augmented/Virtual/Mixed Reality solutions for Oculus, Vive, or HoloLens
  * Passion for game development, especially serious/educational games
  * Experience with HTML5, JavaScript, and CSS
  * Experience with agile development
  * Excellent communication skills

 **EDUCATION**

  * BS in Computer Science (especially Modeling and Simulation) or similar field

 **  
US Citizenship required**

  
Interested candidates should submit a cover letter and resume.

Qualifications:

 _  
All qualified applicants will receive consideration for employment without
regard to race,_

 _color, religion, sex, sexual orientation, gender identity, national origin,
disability, or veteran status._

  
IND123

"
Soaren Management,Software Engineer,"Scottsdale, AZ","Soaren Management provides customer-centric alternative lending solutions in
consumer markets via proprietary underwriting and loan management systems.
With multiple verticals in the financial services industry, Soaren excels in
customized portfolio management, software development, customer service,
telecommunications, automated application processing, and asset recovery.

We have built top of the line proprietary software platforms to underwrite and
manage loans, which we strive to continually innovate upon. And that’s where
you come in.

We are looking to add a Software Engineer to our talented team of Engineers.
We are targeting an Engineer who seeks challenges, loves solving problems, and
cherishes all things new and interesting under the tech sun. If you enjoy
working in a startup environment having the ability to wear multiple hats and
solving complicated tasks with fresh new ideas, we are the right place for
you!

As a Software Engineer with Soaren Management, you would work collaboratively
with other members of the development team and our product team to understand
user and business requirements. You would work individually and with your team
to design, build, test and deliver technology to meet those requirements. You
will be part of a cross-functional team that is responsible for the full
software development life cycle, from conception to deployment. We are
targeting people with the ability to write clean and functional code. You
should have excellent communication skills and the desire to be part of a
great team.

Responsibilities include:

  * Write clean and functional front-end code focused on VUE.js and/or React and JavaScript
  * Write clean and functional back-end code focused on PHP and the Laravel framework
  * Develop, scalable software using CSS, HTML, JavaScript, and jQuery
  * Understanding of OOP, design patterns, and data structures
  * Have the ability to communicate clearly and attend team meetings
  * Experience working in an Agile/Scrum environment
  * Optimize applications for security, speed, and scalability
  * Ability to work in a 24/7 uptime codebase environment
  * Ability to work with your product team to proactively identify problems and make technical suggestions on requirements

Areas of technical expertise should include:

  * VUE.js
  * PHP & Laravel Framework
  * CSS, HTML, JavaScript, jQuery
  * JIRA or similar project management software
  * CI/CD
  * Bonus Points for:
  * React
  * AWS

Qualifications:

  * Bachelor’s degree in Computer Science or similar or equivalent experience
  * 3+ years of relevant experience

We offer excellent compensation and benefits:

  * Highly competitive salary
  * Remote-work capabilities
  * Performance based rewards
  * Unlimited vacation time
  * Dog-friendly office
  * Casual work environment
  * A small executive team with promotion opportunities
  * Company sponsored medical/dental/vision/life insurance/AD&D
  * 401k with generous company matching
  * Paid parental leave
  * Excellent work-life balance
  * Beautiful office with huge breakrooms, snacks, and activities

OUR COMPANY MISSION

Soaren Management merges time-tested business practices with bleeding-edge
proprietary technologies to deliver reliable, efficient and secure financial
products and services. Our greatest strengths, technology and customer care,
flow from the ingenuity, curiosity and integrity of our partners and
employees.

VISION STATEMENT

Soaren Management works toward a future where all consumers have broad and
immediate access to a range of reliable, efficient, and secure financial
products and services, expedited by constantly evolving technologies.

COMMITMENT TO OUR TALENT

Soaren Management believes our success flows directly from our employees. Our
employees are at the heart of our success. As such, it's in our best interest
to provide all the support they need to succeed and thrive. For that reason,
Soaren Management is expanding its search for fresh talent and developing our
current talent. Our commitment to our team ensures value and service to our
ever-growing customer base through hiring and growing our people-centric,
diverse, and forward-thinking talent. We live in our values of Innovation,
Superior Customer Care, Compliance, Community, Balance, and working by the
Golden Rule.

Job Type: Full-time

Benefits:

  * 401(k)
  * 401(k) matching
  * Dental insurance
  * Employee assistance program
  * Flexible schedule
  * Flexible spending account
  * Health insurance
  * Life insurance
  * Paid time off
  * Parental leave
  * Professional development assistance
  * Relocation assistance
  * Tuition reimbursement
  * Vision insurance

Schedule:

  * Monday to Friday

Work Location: One location

"
iScribeHealth,Software Engineer (Backend),Remote,"We are looking for a highly motivated Software Engineer to develop, implement,
and support backend API solutions. In this role, you should be able to work
independently with little supervision. You should have excellent organization
and problem-solving skills and the ability to quickly respond to priority
work. If you have experience in backend development and support and would like
to work with the latest Microsoft technologies, this could be the team for
you. The solutions you develop will play a vital part in the daily lives of
medical professionals.

We are a small team of front end and back end developers. You will work
alongside other senior API engineers to design requirements, code, and
thoroughly test solutions for the healthcare industry. You will get the
opportunity to develop on some of the latest technologies and integrate with
various EHR systems. We welcome innovative and motivated individuals who want
to be a part of close-knit team of developers.

Responsibilities

  * Develop high-quality APIs and implement new architecture as needed.

  * Develop and maintain an internal MVC web portal.

  * Identify, prioritize, and execute tasks in the software development life cycle

  * Develop automated tests and create unit tests through appropriate tools and scripting

  * Peer code reviews

  * Collaborate with internal team of front end (iOS) developers, backend developers, and quality assurance team to implement requirements

  * Ensure code is adhering to necessary security standards

  * Monitor infrastructure and identify issues

  * Follow the Agile Scrum framework

Required Skills

  * Proven experience as a Software Engineer

  * 4+ years’ experience with .Net using C#

  * Experience with developing and integrating with APIs

  * Knowledge of relational databases

  * Analytical mind with problem-solving aptitude

  * Ability to work independently

  * Excellent organizational and leadership skills

  * BS/BA in Computer Science or a related degree

Desired Skills

  * REST API

  * Microsoft Azure Cloud Services

  * Entity Framework

  * MVC

  * Experience in the Health IT industry is a plus

Job Type: Full-time

Benefits:

  * Dental insurance
  * Health insurance
  * Life insurance
  * Paid time off
  * Vision insurance

Schedule:

  * 8 hour shift

Experience:

  * APIs: 2 years (Preferred)
  * .NET: 2 years (Preferred)

Work Location: Remote

"
Driven Care,Software Engineer,Remote,"Driven Care is looking for a talented and passionate Software Engineer to work
for our fast-growing organization. Reporting to the Head of Software
Engineering, this role is responsible for developing and maintaining new and
existing software to support our Driven Care platform. The candidate should be
proficient in design, creating, implementing, and supporting software. **This
is a remote position.**

 **  
Job Duties**

  * Write and maintain software using Typescript/Javascript
  * Write and maintain backend services in a Cloud first and Server-less AWS environment
  * Participate in the development of target state architecture to support business growth and improvement
  * Write custom user interfaces in the Angular UI framework

 **  
Education And Qualifications**

  * Bachelor's degree in software development or related field preferred. Relevant combination of experience and education will be evaluated
  * 3-5 years of experience in software engineering. Medical IT or similar experience preferred
  * Knowledge of full-stack IT concepts, strategies, methodologies, architectures, technical standards, and design patterns
  * Excellent analytical, problem solving, communication, and collaboration skills
  * Knowledge of databases using Postgres or MySQL
  * Experience developing in a modern UI framework(Angular, React, Vue)
  * General knowledge of agile software development concepts and processes

 **Benefits**

  * Unlimited PTO
  * Health, vision and dental insurance
  * 401(k) matching plan
  * Flexible work schedule
  * Paid holidays

36Rs2SfiiQ

"
College Undergraduate/ Software Development Engineer,"Austin, TX",$83K - $183K (Glassdoor est.),"**Job Description**

  
This position is with the Device Development Group (DDG) in Austin, TX. The
DDG Atom team is chartered with designing the latest Intel processors using
the most advanced and innovative process technologies.

  
In this role responsibilities include, although not limited to:

  * Develops pre-Silicon functional validation tests to verify system will meet design requirements

  * Creates test plans for RTL validation, defining and running system simulation models, and finding and implementing corrective measures for failing RTL tests

  * Analyzes and uses results to modify testing

 **  
Qualifications**

  
You must possess the below minimum qualifications to be initially considered
for this position. Preferred qualifications are in addition to the minimum
requirements and are considered a plus factor in identifying top candidates.
Experience listed below would be obtained through a combination of your
schoolwork/classes/research and/or relevant previous job and/or internship
experiences. This is an entry level position and will be compensated
accordingly.

 **For information on Intel’s immigration sponsorship guidelines, please see**

 **Intel U.S. Immigration Sponsorship Information** ****

Minimum Requirements:

Candidate must have a Bachelor’s degree in Computer Science or Computer
Engineering or Electrical Engineering and 3+ months of experience with:

  * C++ or equivalent object-oriented language

  * Computer architecture and assembly language

  * Version control software (GIT, Subversion), IDE tools (Visual Studio), and code review flows (Azure, GitHub)

Preferred Qualifications:

Experience with:

  * Scripting in Perl/Python

  * Regression environments

  * ASM

 **Inside this Business Group**

  
The Devices Development Group (DDG) is a global organization focused on the
development and integration of SOCs, critical IPs including Atom and chipsets
that power Intel's leadership products. This business group leverages an
incomparable mix of experts with different backgrounds, cultures,
perspectives, and experiences to unleash the most innovative, amazing, and
exciting computing experiences.

 **  
Other Locations**  
US, Oregon, Hillsboro;  

  
**Intel strongly encourages employees to be vaccinated against COVID-19. Intel
aligns to federal, state, and local laws and as a contractor to the U.S.
Government is subject to government mandates that may be issued. Intel
policies for COVID-19 including guidance about testing and vaccination are
subject to change over time.**

 **  
Posting Statement**  
All qualified applicants will receive consideration for employment without
regard to race, color, religion, religious creed, sex, national origin,
ancestry, age, physical or mental disability, medical condition, genetic
information, military and veteran status, marital status, pregnancy, gender,
gender expression, gender identity, sexual orientation, or any other
characteristic protected by local law, regulation, or ordinance.

"
Virra,Software Developer,Remote,"Here at Virra, we're building the future of music marketing technology! We
were founded in 2017 with one central goal: make sure artists only have to
worry about making great content. Since then, we've had the privilege of
working with thousands of clients and we're looking for the newest addition to
our sales and customer service team!

We are looking for a software developer to join Virra as an intern for the
summer and ultimately someone to stay on as an employee following the
internship and be a key player in developing novel music-related technologies
to aid our expert marketers in fulfilling the mission of the company.  
The ideal candidate has:

  * A background in computer science or computer engineering (either as a major or hobby)
  * Python experience
  * Experience in Machine Learning
  * Experience with web scraping
  * Interest and/or interest in Blockchain technologies (not required)
  * An interest in music

  * Ability to work in a remote group environment
  * Driven to learn and improve
  * Great verbal and written communicator

Job Types: Full-time, Part-time, Contract, Internship

Pay: $500.00 - $1,000.00 per month

Benefits:

  * Flexible schedule

Schedule:

  * Monday to Friday

COVID-19 considerations:  
N/A as we are fully remote.

Application Question(s):

  * Please describe why you would be a good fit for this role.

Education:

  * Bachelor's (Preferred)

Experience:

  * Back End Developers: 2 years (Preferred)

Work Location: Remote

"
BOEING,Associate Software Engineer - Virtual Simulation,"Berkeley, MO","Job Description  
At Boeing, we innovate and collaborate to make the world a better place. From
the seabed to outer space, you can contribute to work that matters with a
company where diversity, equity and inclusion are shared values. We’re
committed to fostering an environment for every teammate that’s welcoming,
respectful and inclusive, with great opportunity for professional growth. Find
your future with us.  
Refer to ""Supplemental Information"" for further clarification on the use of
this job family. In locations where SPEEA representation applies, this job
family will be covered by the terms of the collective bargaining agreement.
Applicable and appropriate educational/certification credentials from an
accredited institution and/or equivalent experience is required.  
  
**Equal Opportunity Employer:**  
Boeing is an Equal Opportunity Employer. Employment decisions are made without
regard to race, color, religion, national origin, gender, sexual orientation,
gender identity, age, physical or mental disability, genetic factors,
military/veteran status or other characteristics protected by law.

"
Kotis Design,Software Engineer (Ruby on Rails),Remote,"**THE COMPANY**  
At Kotis, we’re building a team of brand champions, designers, and doers who
are obsessed with creating the best promotional marketing experience ever.
We’re the brand behind the brand, the makers of amazing swag & eCommerce
solutions meant to amplify our client’s message and connect their people. We
tackle every project with unbridled enthusiasm, promising to make our clients’
lives easier and creatively solve their problems--whether that be internal
employees, members, or customers.

We continue to disrupt the traditional promotional products industry--owning
the end-to-end workflow of product & design ideation, custom screen printing,
retail-quality knitting, e-commerce solutions, warehousing + fulfillment, and
more--all to serve our clients better.

Want to join the movement?

 **THE JOB**  
Do you like working with a team who is passionate about innovative projects?
Do you like the culture of a tech company, but don’t want 80 hour work weeks
and an unrealistic work/life balance? We are an outgoing, collaborative team
that is focused on quality and using the newest technologies. You’ll work with
a team of 3-5 developers and get a unique opportunity to implement a new
generation of scalable and efficient applications to support our quickly
growing business. As you demonstrate mastery of skills, we have a clearly
defined career path that will set you up for advancement within the
department.

 **THE PERFECT CANDIDATE**  
You are an agile developer who vigilantly challenges yourself and others to
come up with better solutions. You are a self-starter and able to outline and
achieve goals individually and as a member of a team. You want to be in a
position to create value and have a significant impact on the direction of
your company by building a massively scalable platform.

 **WHY YOU'LL LOVE US**

  * Work remotely, but not alone. Kotis Design embraced fully remote work far before COVID required it for so many... Since 2015 we've had fully remote teams and we've got remote work figured out! We have the technology and the resources to make it easy to ensure you'll stay engaged with your co-workers. We promise you won't feel isolated. Also, we are committed to equal opportunity advancement for fully remote Kotisians.
  * We want you to love your job, but not have it take over your entire life. 40-hour work weeks and flexibility are the norm here!
  * Grow your career! We have a clearly defined career paths to pay for performance and support pay equity. Pay reviews are as often as every six months.
  * We encourage our employees to join an Employee Resource Group. These are a safe, supportive space for employees companywide who share a common identity and want an internal community in addition to their immediate team.
  * We believe that we’re better together, that diversity and inclusion are the backdrop for a great work environment. We strive to bring awareness of inclusion in all we do; the little actions, the processes, the daily decisions. We’re at our best when every Kotisian can come as they are and do their best work.
  * $500 yearly office stipend to make your home office magazine worthy.
  * We have a passion and commitment to working with the newest technology and always move forward.
  * We provide extensive training from experts, internally and externally.
  * We're stable and growing.
  * All equipment provided.
  * Swag, amazing swag!

 **RESPONSIBILITIES**

  * Develop front- and back-end web applications in a Service-Oriented Architecture
  * Collaborate with other technology team members on software development, specifically regarding functionality, user experience, and technical design
  * Manage deliverables according to approved project plans
  * Design, code, and implement well-documented REST APIs used by internal and external applications
  * Ensure code is well-tested using Rspec and Capybara
  * Participate in code maintenance, bug fixes, and various cross-functional roles with quality assurance
  * Participate in design and code reviews

 **REQUIREMENTS**

  * 1+ years professional or personal experience working with Ruby on Rails
  * Strong understanding of HTML, CSS and JavaScript
  * Professional software development experience a plus (or a combination of relevant education and experience)
  * Excellent verbal/written communication
  * Self-motivator
  * Experience with the following a plus: front-end JavaScript libraries (React, Angular, etc.), TDD/BDD, mobile development, E-commerce, designing an API, Postgres or Redis
  * Authorization to work in the US

 **COMPENSATION**

  * The salary range for his career path is $80,000 - $140,000 will be adjusted based on work experience and skills

 **BENEFITS**

  * https://go.kotisdesign.com/careers/benefits/

 _Kotis Design is an equal opportunity employer. We are committed to
recruiting and employing highly qualified individuals who represent the
diverse communities in which we live, and with whom we work. We base our
personnel decisions on merit, qualifications, performance, and business needs.
All employment-related decisions are made without unlawful discrimination
based on race, religion, color, national origin, gender, age, marital status,
physical, sensory, or mental disability, military status, sexual orientation,
gender identity, genetic information, political ideology, status as a victim
of domestic violence, sexual assault, or stalking, or any other factor
determined to be unlawful by applicable federal, state or local statutes. If
you have a disability or special need that requires accommodation, please
contact us._

Job Type: Full-time

Pay: $80,000.00 - $140,000.00 per year

Benefits:

  * 401(k) matching
  * Dental insurance
  * Flexible schedule
  * Health insurance
  * Health savings account
  * Life insurance
  * Paid time off
  * Referral program
  * Vision insurance

Schedule:

  * 8 hour shift
  * Day shift
  * Monday to Friday

Work Location: Remote

"
Threshold 360,Full Stack Software Engineer,Remote,"We’re seeking a talented Full-Stack Software Engineer who will help bring our
next wave of products and ideas to life. This person should be based in the
US.

Responsibilities

  * Work with the team to design, develop and implement software solutions to support our internal and external user communities
  * Develop web and mobile applications using JavaScript, NodeJS and React
  * Maintain existing web applications written in Ruby on Rails and Python
  * Build, manage and maintain both SQL and noSQL databases like PostgreSQL and AWS DynamoDB
  * Configure and build software using our DevOps and cloud infrastructure on AWS
  * Contribute to many aspects of system development, including architecture, component and API design, third party software selection, integrations, process design
  * Create Automated Tests using Flexible/Open Source Frameworks

Required Skills

  * Full-stack engineering experience with strong AWS cloud fundamentals
  * Extensive experience developing web applications, in particular using JavaScript (not TypeScript) and modern JavaScript tools and frameworks, including NodeJS, Express, React, Webpack, REACT, ES6/ES7, Babel, etc.
  * Strong software development background and hands-on experience scaling complex systems
  * Production experience working with a wide variety of strong functional knowledge of DevOps concepts and techniques such as Continuous Integration and Deployment, virtual machines, containers, and AWS cloud services
  * Knowledge of 3D software/gaming development using Three.js/WebGL is a huge plus
  * About You Ideally a Bachelor's Degree in Computer Science or equivalent experience
  * 3+ years of software development experience
  * Ideally reside in Central/South Florida, for occasional in-person meetings
  * An enthusiastic and energetic team player

Compensation & Benefits

  * Salary is competitive and commensurate with experience
  * Equity in a fast-growing tech startup
  * Exceptional health and dental insurance
  * Life and disability insurance
  * Flexible PTO and sick time
  * Flexible work environment, with optional access to our downtown Tampa office (or up to 100% remote)
  * The opportunity to build something great, working alongside other highly creative and driven individuals

Job Type: Full-time

Pay: $120,000.00 - $150,000.00 per year

Benefits:

  * Dental insurance
  * Flexible schedule
  * Health insurance
  * Paid time off
  * Professional development assistance
  * Referral program

Schedule:

  * Monday to Friday

Work Location: Remote

"
Topaz Labs,Software Engineer,"Dallas, TX","Hi - we're Topaz Labs! We build software that uses machine learning to improve
image quality for photographers and videographers. Over a million paid
customers (from amateur photographers to major tech companies + movie studios)
use our technology.

We're looking for a Software Engineer to lead development for one of our core
products. In this high-impact role, you'll work with our machine learning team
to design and build great products.

 **Our story so far:**

  * In 2018 we were the first to use machine learning to improve image quality (covered by Fast Company, The Verge, Engadget, Mashable, and more). We have an obsessive customer base that is growing rapidly.
  * We have extreme growth and opportunity for impact - over 100% revenue growth year over year with no end in sight.
  * We have a huge total addressable market. How useful to how many people would a real-life version of CSI's ""Enhance"" be? We're currently the best in the world at it, and only getting better.
  * Completely own implementation of a whole product. We fanatically embrace ownership and autonomy, and do everything we can to remove unnecessary process, hierarchy, and micro-management.

 **What you would do:**

  * Own one of our core AI-powered products
  * Understand our customer needs to plan and implement features to create an exceptional user experience
  * Set product direction for product team (AI Research Engineer, Product Specialist)
  * Become an expert in one or more technical areas (plugins, third party libraries, deployment, testing, QA, etc)

 **What you should have:**

  * ~2+ years experience in C++ or JavaScript
  * Understanding of what makes beautiful and effective UX/UI
  * Proven ability to quickly learn and be effective in new technologies
  * Unusually proactive with a passion for delivering high-quality customer-centric software
  * Degree in Computer Science, Software Engineering, or equivalent professional experience
  * Preferred: experience in Qt (C++ and QML) for desktop, image/video processing, product management, photography

The top ""soft skills"" we're looking for in our next Software Engineer are
shipping mentality and work ethic, followed by grit and intellectual humility.

This role is for a Software Engineer who is interested in working with a high
degree of impact and autonomy. We offer strong base salary plus significant
ownership that scales with the company's impact. We're also proud to offer
100% covered medical/dental/vision for employees, 15 days annual PTO plus
holidays, and 401k matching. This is a full-time on-site role in Dallas, TX.

Job Type: Full-time

Pay: $110,000.00 - $180,000.00 per year

Schedule:

  * Monday to Friday

Work Location: One location

"
