Company Name,Job Title,Job Location,Job Description
GEICO,Machine Learning Data Engineer,"Chevy Chase, MD","GEICO is leading the way in application of Machine Learning and AI in the industry. We have a culture of experimentation, rapid iterations and feedbacks, and lean delivery, complimented with strong partnership and collaboration with product, marketing, tech, and data teams. We’re looking for a Machine Learning Data Engineer to help design and build connected Feature Factory, Feature Engineering capabilities on the Cloud, using Machine Learning and data engineering skills.
Job Responsibilities:
You will work with our data engineering, MLops, and Data Science teams to shape adaptive feature engineering data pipelines, build Machine Learning solutions to construct and test variety of predictive features, build nested, time-series, time-travel features that can be adapted to different targets, design and build Features Factory and Feature Stores, and deploy feature construction pipeline / repository for model deployment, monitoring, and retraining. You will research the application of graph databases and design graph-based solutions for better management of ML features, and for better instantiation of connected features. You will be an important player in the evolution of data and AI in one of the largest insurance carrier."
Sapphiros.AI,Machine Learning Scientist,"Boston, MA","ABOUT
SAPPHIROS AI Bio is leading a transformation in the understanding of the correlation of genetics and cellular processes. With access to one of the worlds largest bio banks this individual will be at the heart of the most innovative project in bioscience. This position requires broad technical experience in designing, developing and implementing AI solutions.
Experience with complex data models and organizing structured and unstructured data is a requirement. The candidate should be independent and accustomed to taking initiative. The candidate must be scientifically independent, confident, and accustomed to taking initiative while problem solving. The position requires strong communication and organization skills.
ROLE"
Noblis,Machine Learning Engineer,"Reston, VA","Responsibilities:
Noblis is looking for a Senior Machine Learning Engineer to use major data science tools and languages to contribute to the development of a machine learning data and algorithm exchange.

As a Machine Learning Engineer, you will deep dive into data while using your experience with machine learning, statistical modeling, and time-series forecasting. You must have experience with cleaning, managing, optimizing performance with, and processing large volumes of data. You will collaborate with a highly skilled technical team, to create scalable ML solutions. In addition, you will use synthetic data sets for testing machine learning models, while supporting innovative projects within the Intelligence Community (IC).

Responsibilities:
Design and develop and maintain machine learning algorithms
Clean, manage, optimize, and process large volumes of data
Client Engagement: · Support and lead evolving business development efforts by applying technical and functional expertise to develop business solutions. · Lead proposal sections for small or limited competition proposals and actively participate in teaming strategy discussions Qualifications:

Overview:"
PeritusHub LLC,"IOS Engineer, Applied Machine Learning (Remote)","Austin, TX","We are seeking a hands-on, passionate IOS developer with experience in Computer Vision and AI/ML edge deployment.
As an IOS Engineer on our client's team, you will be working with best-in-class data scientists and AI experts to create one-of-a-kind experiences using Computer Vision Algorithms, ML/ARKit for iOS products.
You will have the opportunity to create world-class applications in the exciting, emerging field of Artificial Intelligence.
Responsibilities and Duties
Develop and support high-quality, polished, and reliable iOS // Swift frameworks and applications
Work closely with the Data Science team, stakeholders, and designers to implement UI features and functionality"
Cognitiv.ai,Software Development Engineer: Machine Learning,"Bellevue, WA","Cognitiv builds custom programmatic ad buying algorithms using the latest advances in Deep Learning. Our platform enables us to offer custom algorithms to all our clients, including advertisers who build custom algorithms for their brands and ROI-types, and agencies who offer more sophisticated targeting solutions to their programmatic clients..
Applied Science and Analytics at Cognitiv is a highly visible team at the center of our product. Our team has a direct impact on the success of our campaigns. As a Software Engineer on the team, you will help build the infrastructure, tooling, and automation to help us design, train, deploy, and refresh our models.
Responsibilities
Use engineering best practices combined with ML domain knowledge to build robust, but customizable ML systems to train advanced Deep Learning models and next-generation data products"
"EDDA Technology, Inc.",Machine Learning Engineer,"Princeton, NJ","Machine Learning Engineer – Computer Vision/Image Processing
Job Description:
The position of Machine Learning Engineer – Computer Vison/Image Processing will be based out of Princeton, NJ. Responsibilities include:
Develop algorithms based on machine learning and neural network methodologies;
Apply knowledge of relevant research domains, along with expert coding skills, to prototype and build products;
Optimize existing products for performance, reliability, and scalability;
Conforming to the Company’s standard/procedure of product development;"
Call Simulator,Machine Learning Engineer (Fully Remote),Remote,"Machine Learning Engineer (Full-Time, Fully Remote)
Includes model design, implementation, deployment, and testing within a data-centric AI focus
Location: Headquarters in Tallahassee, FL (fully-remote position)

Compensation: $100,000 - $160,000 commensurate with experience
Summary of Qualifications:
2+ years of combined experience in ML engineering or theory
Proven track record of producing machine learning models at scale (publications, posters, blogs, Github)"
eInfochips Inc,Computer Vision Engineer,Remote,"eInfochips Inc. - A Division of Arrow Electronics, #102 in fortune is a leading global provider of product engineering and semiconductor design services. With over 500+ products developed and 40M deployments in 140 countries, eInfochips continues to fuel technological innovations in multiple verticals. The company’s service offerings include digital transformation and connected IoT solutions across various cloud platforms, including AWS and Azure.
Key Responsibilities
Integration and performance measurement of food classification algorithms.
Be part of sprint planning & execution. Use RTC (Rational Team Concert), JIRA to maintain product backlog & sprints.
Vision system maintenance and feature enhancement."
Tiro L.L.C.,Machine Learning Engineer / Data Scientist,Remote,"Data Scientist / ML Ops Engineer
The position
We are looking for a talented Data Scientist / ML Ops Engineer to join our client’s fast growing team in either in office or Remote. We are looking for a high caliber individual with a passion for building scalable machine learning (ML) platforms for deployment of automated ML based software solutions. In this position, you will be working with a very highly energetic team of engineers, data scientists, and developers, to develop and deploy ML solutions to solve engineering problems. The solutions will focus on improving operational efficiency and predictive maintenance using engineering and data science approaches.
Responsibilities
You will be responsible for:"
EDWARD JONES,Machine Learning Engineer,"Saint Louis, MO","At Edward Jones, we help clients achieve their serious, long-term financial goals by understanding their needs and implementing tailored solutions. To ensure a personal client experience, we have located our 15,000+ branch offices where our more than 7 million clients live and work.

In a typical branch office, a financial advisor meets with clients and receives branch office support, so they can focus on building deep relationships with clients. Headquarters associates in St. Louis, Tempe and Mississauga provide support and expertise to help U.S. and Canada branch teams deliver an ideal client experience. We continue to grow to meet the needs of long-term individual investors.
At Edward Jones we are developing a next-generation data architecture to support our growing business. As part of the Data Management area, you will be challenged daily to test, deploy, and manage Machine Learning systems and tools to support Data Science use cases. In addition, you will help build ML Ops processes to support the development of ML pipelines and the production deployment of models. The processes you help design and deploy will use DevOps principles to enable rapid iteration. You will partner closely with stakeholders like Data Scientists, Data Engineers, Quality Assurance analysts and many others to produce high-quality ML products.


Salary: $105753 - $180067
Category: Headquarters"
Elysian Staffing,Data Scientist/Machine Learning Engineer,"Mountain View, CA","Our client, a global tech brand, is adding a Data Scientist Manager to staff who will be responsible for analyzing data for the optimization of content delivery to consumers. Experience in AI and/or Machine Learning is mandatory. This will be an on-site work schedule - only local candidates to Mountain View, CA and New York, NY will be considered.
RESPONSIBILITIES:
· Deliver and interpret data efficiently with high auto-recognition coverage at low cost
· Build and iterate the label system to be the handle of managing all digital assets and support all business need
· Unlock the value of company’s data to power the whole monetization business
· Work with demand side from collecting requirements through to delivery"
