Job Title,Company Name,Job Description
-1,-1,"Plastipak Packaging is a global industry leader in the design, manufacturing, and recycling of plastic rigid containers. Our list of customers include some of the worlds most recognized and respected brands such as Procter & Gamble, Kraft Foods and Pepsi, just to name a few. Our commitment to our employees is demonstrated in numerous awards for innovation, environmental sustainability, and corporate citizenship.
Plastipak follows industry leading protocols to address COVID-19, including regular disinfection, electrostatic cleaning and temperature sensing kiosks at most locations. We strictly adhere to all CDC guidelines to provide a safe working environment for our associates and visitors; including face coverings, social distancing, and hand sanitizer stations.
Named one of America's Best Employers in Michigan by Forbes in 2020, Plastipak offers many great benefits, including:"
-1,-1,"ROLE: Digital Marketing Analyst
TEAM: Digital Marketing
The Digital Marketing Analyst is an integral part of our digital marketing team, working with our strategists, administrators, and support staff closely on client strategies, execution, data analysis, and reporting. The right candidate must be able to work both independently and collaboratively with the team. Our digital team is dedicated to being #BestInIndustry; we work hard on continuing education in the digital field and staying up to date with current and emerging platforms, tools, and trends. Certifications (Google, Facebook, Hubspot) are preferred, but not required to be considered. You will be expected to get and/or maintain these certifications in the Digital Analyst role.
Key Areas of Responsibility:"
-1,-1,"Marketing Manager – Allegheny Surface Technology (Lewis Run, PA)

Job Description:
The Marketing Manager is responsible for attracting and analyzing the leads and opportunities generated through marketing activities. This position will build marketing campaigns designed to generate marketing qualified leads from multiple sources including social media, trade shows, advertising, and referrals. Through analysis, there will be a loop of learning and improvement for the next campaign to generate even more valid business leads.



Job Type : Full Time"
-1,-1,"Marketing Assistant
Custom Personalized Lawn Care
Flint, MI 48506
$35,000++
Job Overview
Assist the marketing department in the creation and execution of marketing strategies that include the development of promotional materials for marketing campaigns based in direct mail, email, digital and social media platforms.
Responsibilities
Assist in creating, implementing, and tracking marketing programs such as promotional materials, email marketing, social media campaigns, digital campaigns, and events"
-1,-1,"PrintingCenterUSA is looking for an experienced, positive attitude person to join our team as a Marketing Assistant to provide visual design material, written copy for both web and print, development mockups, and SEO research that advance the progress of the company’s goals.
This position is in Great Falls, MT (This is NOT a remote position.)
Located between Glacier and Yellowstone National Parks, Great Falls, MT is surrounded by natural beauty and recreational opportunities such as world class fishing, hunting, skiing, hiking, biking, kayaking, water sports and so much more. Whatever the season, you’re sure to find numerous outdoor activities that match your speed.
Great Falls offers affordable housing and quick access to everything: 15 minutes to work, shopping, restaurants, nightlife, community activities, etc."
-1,-1,"Objectives of This Role
This position supports the Operations & Analytics department. The key to this role is enhancing the analytics we provide on our current platforms. This role encourages growth, development, and improvement within the company and with our clients.
Daily and Monthly Responsibilities
Assist our clients, their employees, and consumers in answering questions regarding various program aspects via phone and email.
Maintain and evaluate incentive/rebate programs.
Create and maintain routine reporting for various clients.
Possess basic knowledge data visualization tools (Tableau, Sisense for Cloud Data, etc.)."
-1,-1,"Digital Marketing Specialist


About the Position:

City+Ventures / Nine Zero Properties is seeking a digital marketing specialist to support its growing residential and commercial property portfolio. Working as a part of the Communications & Marketing team and under the strategic direction of the Nine Zero marketing leader, the ideal digital marketing specialist should have at least two years of experience in general marketing, social media and online/digital/search marketing, as well as a strong passion for driving company results and reputation. The incumbent must be team-oriented and collaborative, but also work well independently, in City+Ventures’ entrepreneurial, high-growth environment."
-1,-1,"Retail Marketing Coordinator
Do you love working with people OUTSIDE the office, facing sales challenges head-on in the field? Is meeting new people and closing deals an exciting challenge? Do you lead a team with a ‘never give in, never give up’ spirit?
Renewal by Andersen is the replacement division of the most recognized window and door brand in North America and is looking for a leader like you.
Our direct-to-customer sales approach relies on our many marketing sources, including our Retail Marketing team who books sales appointments at kiosks in retail business locations.
Role and Responsibilities"
-1,-1,"Corporate & Investor Marketing Specialist
Corporate & Investor Marketing Specialist
Landings Real Estate Group is a private real estate firm that acquires, develops, and manages multifamily, corporate and hospitality properties throughout the Eastern United States. Since our inception, we have been driven by integrity, dedication and a desire for excellence while providing exceptional returns to our investors.
With a current focus on multi-family properties, we seek to create value for investors through our experienced property management services, superior knowledge of target markets and a disciplined investment approach. We currently own and manage over 1,500 multifamily units with four projects currently under development totaling over $310M in total market value."
-1,-1,"Company Description: OXLOS (www.OXLOS.com) is a fast growing and well capitalized startup focused on live business events, training and education, as well as digital media brands and assets targeted to entrepreneurs, business owners, investors, other business leaders, as well as those who aspire to be them.
Job Description: The job consists of doing overseeing and conducting research in our company, which includes market research, but also competitive, marketing, customer, product, and speaker research to help give us intelligible data to launch new and improve our existing brands, products and offerings.
For example, one of our fully developed business event brands, see: www.LIFESURGE.com
The work atmosphere is very entrepreneurial, results-driven, self-governed, relaxed, fun, and casual. If you’re looking for a long-term opportunity to do interesting work while being on the ground floor of a new disruptive organization, and growing with it, without the typical corporate bureaucracy and politics of large firms, then this opportunity may be the right opportunity for you."
